"UP 2210"
"Version"	"1.64"	"1.62"
"Serialnumber:"	25003817
"Main comment"	"Measure 1"
"Start:"	"2008-07-01"	"15:45:00"
"End:"	"2008-07-04"	"13:31:17"
"Storage interval:"	"0:05:00"



"Channel/Method"	"Comment"	"Range"	"Min"	"Max"
"U1  [V] Voltage"	""	""	196,306938	239,105744
"U2  [V] Voltage"	""	""	196,438931	238,676766
"U3  [V] Voltage"	""	""	197,131895	238,874756
"I5  [A] Current"	""	""	3,959797	386,174530
"I6  [A] Current"	""	""	1,791337	391,548541
"I7  [A] Current"	""	""	3,111269	377,783531
"Ub1-3  [%] Unbalance"	""	""	0,075000	0,675000
"Ib5-7  [%] Unbalance"	""	""	0,525000	88,134998
"U1-2  [V] Voltage"	""	""	5,772630	412,714440
"U2-3  [V] Voltage"	""	""	341,385313	1753,336222
"U1-3  [V] Voltage"	""	""	-0,057155	414,829165
"P1-5  [W] 1-Wattmeter"	""	""	-2286,665981	37146,655533
"P2-6  [W] 1-Wattmeter"	""	""	0,000000	0,000000
"P3-7  [W] 1-Wattmeter"	""	""	93,333305	74106,644455
"Q1-5  [VAr] 1-Wattmeter"	""	""	93,333305	66079,980194
"Q2-6  [VAr] 1-Wattmeter"	""	""	0,000000	0,000000
"Q3-7  [VAr] 1-Wattmeter"	""	""	-1213,332970	5646,664974
"S1-5  [VA] 1-Wattmeter"	""	""	0,000000	0,000000
"S2-6  [VA] 1-Wattmeter"	""	""	0,000000	0,000000
"S3-7  [VA] 1-Wattmeter"	""	""	0,000000	0,000000
"P1-6  [W] 3-Wattmeter"	""	""	419,999863	111299,963608
"Q1-6  [VAr] 3-Wattmeter"	""	""	0,000000	69299,977341
"S1-6  [VA] 3-Wattmeter"	""	""	1259,999588	131319,957062




Date	Time	"U1  [V]"	"U2  [V]"	"U3  [V]"	"I5  [A]"	"I6  [A]"	"I7  [A]"	"Ub1-3  [%]"	"Ib5-7  [%]"	"U1-2  [V]"	"U2-3  [V]"	"U1-3  [V]"	"P1-5  [W]"	"P2-6  [W]"	"P3-7  [W]"	"Q1-5  [VAr]"	"Q2-6  [VAr]"	"Q3-7  [VAr]"	"S1-5  [VA]"	"S2-6  [VA]"	"S3-7  [VA]"	"P1-6  [W]"	"Q1-6  [VAr]"	"S1-6  [VA]"	
"2008-07-01"	"15:50:00"	215,908	216,106	215,116	13,2936	7,44819	12,5394	0,205	31,81	5,77263	1753,34	-0,0571547	46,6667	0	2613,33	2660	0	140	0	0	0	2660	2800	4200	
"2008-07-01"	"15:55:00"	216,403	216,436	215,71	12,7279	7,54247	12,1622	0,135	30,52	374,535	374,249	373,621	0	0	2473,33	2566,67	0	280	0	0	0	2520	2800	4200	
"2008-07-01"	"16:00:00"	215,941	215,809	215,38	12,2565	8,20244	12,068	0,145	25,125	373,392	373,335	373,621	0	0	2426,67	2473,33	0	420	0	0	0	2380	2940	4060	
"2008-07-01"	"16:05:00"	216,37	216,601	216,073	12,2565	8,01388	11,9737	0,155	25,775	374,364	374,878	374,478	0	0	2426,67	2473,33	0	373,333	0	0	0	2380	2940	4060	
"2008-07-01"	"16:10:00"	216,733	217,294	216,535	12,3508	8,29672	12,1622	0,17	24,37	375,392	376,021	375,107	0	0	2473,33	2520	0	466,667	0	0	0	2380	2940	4200	
"2008-07-01"	"16:15:00"	216,205	216,832	215,875	12,2565	6,50538	11,1251	0,21	33,64	374,649	374,992	373,964	0	0	2286,67	2473,33	0	93,3333	0	0	0	2240	2660	3780	
"2008-07-01"	"16:20:00"	216,733	217,228	216,568	12,9165	10,1823	11,1251	0,15	12,91	375,278	375,907	375,164	840	0	2286,67	2473,33	0	93,3333	0	0	0	3080	2660	4340	
"2008-07-01"	"16:25:00"	216,205	216,667	216,172	12,9165	10,2766	11,1251	0,19	11,615	374,249	375,164	374,421	886,666	0	2286,67	2473,33	0	93,3333	0	0	0	3220	2660	4340	
"2008-07-01"	"16:30:00"	215,71	216,535	215,941	13,1993	10,5595	11,0309	0,265	12,645	373,621	374,935	373,678	886,666	0	2286,67	2520	0	140	0	0	0	3220	2660	4340	
"2008-07-01"	"16:35:00"	216,106	216,766	216,403	13,9536	10,748	11,0309	0,265	16,54	374,135	375,564	374,535	886,666	0	2286,67	2706,67	0	140	0	0	0	3220	2800	4480	
"2008-07-01"	"16:40:00"	216,601	217,36	217,03	14,0479	10,6537	11,0309	0,29	16,86	374,992	376,707	375,45	840	0	2286,67	2753,33	0	140	0	0	0	3080	2940	4480	
"2008-07-01"	"16:45:00"	216,931	217,756	217,261	14,0479	10,6537	11,0309	0,285	16,835	375,678	377,221	375,907	840	0	2286,67	2753,33	0	140	0	0	0	3220	2940	4480	
"2008-07-01"	"16:50:00"	216,997	217,756	217,294	14,8964	10,748	11,5965	0,275	21,49	375,735	377,278	375,964	933,333	0	2380	2893,33	0	0	0	0	0	3360	2940	4760	
"2008-07-01"	"16:55:00"	217,624	218,317	217,855	16,0278	10,1823	11,9737	0,255	29,68	376,878	378,136	377,05	1026,67	0	2473,33	3173,33	0	-280	0	0	0	3500	2800	4900	
"2008-07-01"	"17:00:00"	217,525	218,119	217,789	14,2364	9,99377	10,748	0,255	22,42	376,535	377,907	376,936	886,666	0	2240	2800	0	0	0	0	0	3080	2800	4480	
"2008-07-01"	"17:05:00"	217,723	218,086	218,086	14,1421	9,99377	10,748	0,285	22,41	376,593	378,136	377,564	886,666	0	2240	2800	0	0	0	0	0	3080	2800	4480	
"2008-07-01"	"17:10:00"	218,086	218,746	218,68	14,3307	9,99377	10,8423	0,33	22,66	377,336	379,336	378,307	886,666	0	2240	2846,67	0	0	0	0	0	3080	2800	4480	
"2008-07-01"	"17:15:00"	217,558	218,449	218,218	14,1421	8,76812	10,9366	0,345	29,755	376,707	378,765	377,336	560	0	2240	2846,67	0	0	0	0	0	2800	2800	4340	
"2008-07-01"	"17:20:00"	217,855	218,614	218,449	13,9536	7,63675	11,3137	0,325	33,625	377,107	379,107	377,85	186,667	0	2333,33	2893,33	0	46,6667	0	0	0	2520	2940	4200	
"2008-07-01"	"17:25:00"	217,294	217,987	217,855	13,765	7,63675	11,5965	0,32	31,98	376,078	378,022	376,936	140	0	2380	2800	0	93,3333	0	0	0	2520	2940	4200	
