"UP 2210"
"Version"	"1.64"	"1.62"
"Serialnumber:"	25003817
"Main comment"	"Measure 1"
"Start:"	"2008-07-01"	"15:45:00"
"End:"	"2008-07-04"	"13:31:17"
"Storage interval:"	"0:10:00"



"Channel/Method"	"Comment"	"Range"	"Min"	"Max"
"Pst1  [] Flicker Pst"	""	""	0,163000	2,541000
"Pst2  [] Flicker Pst"	""	""	0,153000	3,103000
"Pst3  [] Flicker Pst"	""	""	0,144000	4,028000




Date	Time	"Pst1  []"	"Pst2  []"	"Pst3  []"	
"2008-07-01"	"15:55:00"	0,473	0,529	0,476	
"2008-07-01"	"16:05:00"	0,387	0,372	0,356	
"2008-07-01"	"16:15:00"	0,287	0,252	0,246	
"2008-07-01"	"16:25:00"	0,407	0,399	0,387	
"2008-07-01"	"16:35:00"	0,497	0,362	0,389	
"2008-07-01"	"16:45:00"	0,532	0,346	0,403	
"2008-07-01"	"16:55:00"	0,379	0,291	0,319	
"2008-07-01"	"17:05:00"	0,577	0,491	0,535	
"2008-07-01"	"17:15:00"	0,483	0,445	0,452	
"2008-07-01"	"17:25:00"	0,374	0,35	0,342	
"2008-07-01"	"17:35:00"	0,367	0,316	0,349	
"2008-07-01"	"17:45:00"	0,236	0,221	0,218	
"2008-07-01"	"17:55:00"	0,28	0,275	0,261	
"2008-07-01"	"18:05:00"	0,243	0,25	0,237	
"2008-07-01"	"18:15:00"	0,22	0,196	0,197	
"2008-07-01"	"18:25:00"	0,288	0,25	0,247	
"2008-07-01"	"18:35:00"	0,211	0,167	0,161	
"2008-07-01"	"18:45:00"	0,211	0,178	0,166	
"2008-07-01"	"18:55:00"	0,281	0,34	0,311	
"2008-07-01"	"19:05:00"	0,217	0,194	0,185	
"2008-07-01"	"19:15:00"	0,315	0,294	0,219	
"2008-07-01"	"19:25:00"	0,252	0,248	0,227	
"2008-07-01"	"19:35:00"	0,2	0,182	0,182	
"2008-07-01"	"19:45:00"	0,175	0,162	0,156	
"2008-07-01"	"19:55:00"	0,194	0,185	0,179	
"2008-07-01"	"20:05:00"	0,248	0,248	0,218	
"2008-07-01"	"20:15:00"	0,217	0,212	0,202	
"2008-07-01"	"20:25:00"	0,217	0,227	0,212	
"2008-07-01"	"20:35:00"	0,206	0,189	0,182	
"2008-07-01"	"20:45:00"	0,256	0,243	0,234	
"2008-07-01"	"20:55:00"	0,244	0,249	0,232	
"2008-07-01"	"21:05:00"	0,26	0,261	0,251	
"2008-07-01"	"21:15:00"	0,306	0,308	0,291	
"2008-07-01"	"21:25:00"	0,636	0,438	0,56	
"2008-07-01"	"21:35:00"	0,525	0,447	0,555	
"2008-07-01"	"21:45:00"	0,348	0,298	0,298	
"2008-07-01"	"21:55:00"	0,539	0,456	0,524	
"2008-07-01"	"22:05:00"	0,438	0,372	0,42	
