Date;Time;Pst1;Pst2;Pst3 
1/07/2008;15:55:00;0,473;0,529;0,476
1/07/2008;16:05:00;0,387;0,372;0,356
1/07/2008;16:15:00;0,287;0,252;0,246
1/07/2008;16:25:00;0,407;0,399;0,387
1/07/2008;16:35:00;0,497;0,362;0,389
1/07/2008;16:45:00;0,532;0,346;0,403
1/07/2008;16:55:00;0,379;0,291;0,319
1/07/2008;17:05:00;0,577;0,491;0,535
1/07/2008;17:15:00;0,483;0,445;0,452
1/07/2008;17:25:00;0,374;0,35;0,342
1/07/2008;17:35:00;0,367;0,316;0,349
1/07/2008;17:45:00;0,236;0,221;0,218
1/07/2008;17:55:00;0,28;0,275;0,261
1/07/2008;18:05:00;0,243;0,25;0,237
1/07/2008;18:15:00;0,22;0,196;0,197
1/07/2008;18:25:00;0,288;0,25;0,247
1/07/2008;18:35:00;0,211;0,167;0,161
1/07/2008;18:45:00;0,211;0,178;0,166
1/07/2008;18:55:00;0,281;0,34;0,311
1/07/2008;19:05:00;0,217;0,194;0,185
1/07/2008;19:15:00;0,315;0,294;0,219
1/07/2008;19:25:00;0,252;0,248;0,227
1/07/2008;19:35:00;0,2;0,182;0,182
1/07/2008;19:45:00;0,175;0,162;0,156
1/07/2008;19:55:00;0,194;0,185;0,179
1/07/2008;20:05:00;0,248;0,248;0,218
1/07/2008;20:15:00;0,217;0,212;0,202
1/07/2008;20:25:00;0,217;0,227;0,212
1/07/2008;20:35:00;0,206;0,189;0,182
1/07/2008;20:45:00;0,256;0,243;0,234
1/07/2008;20:55:00;0,244;0,249;0,232
1/07/2008;21:05:00;0,26;0,261;0,251
1/07/2008;21:15:00;0,306;0,308;0,291
1/07/2008;21:25:00;0,636;0,438;0,56
1/07/2008;21:35:00;0,525;0,447;0,555
1/07/2008;21:45:00;0,348;0,298;0,298
1/07/2008;21:55:00;0,539;0,456;0,524
1/07/2008;22:05:00;0,438;0,372;0,42
1/07/2008;22:15:00;0,4;0,304;0,304
1/07/2008;22:25:00;0,432;0,31;0,373
1/07/2008;22:35:00;0,336;0,322;0,311
1/07/2008;22:45:00;0,327;0,291;0,308
1/07/2008;22:55:00;0,462;0,409;0,422
